Predicted,Classes,New Predicted,question_description,
Weight Gain,Weight Gain,Weight Gain,"How to gain weight in one month
",
General Problems,Dental,General Problems,problem in my gums. how can I get relief by this problem ,
Cold,Cold,Cold,"I am suffering from fever. How can I reduce this 

",
Weight Loss,Weight Loss,Weight Loss,I want to lose My weight. it's growing very fast. what should I do for it???,
General Problems,General Problems,General Problems,what is meant by body mass index,
Skin,Skin,Skin,sir I have an skin sweating problem what is the solution to solve the problem,
Hair Treatment,Hair Treatment,Hair Treatment,Sir beard growth which oil is great,
Eyes,Eyes,Eyes,which food is better for my eye,
Weight Loss,Weight Loss,Weight Loss,"How to lose fat? 
",
Others,Others,Others,मेरी उम्र 23 साल है मेरा वज़न 85 किलोग्राम है... क्या में अपना वज़न जल्दी  कम कर सकता हूँ..,
Hair Treatment,Hair Treatment,Hair Treatment,Does masturbating results in hairfall ?,
General Problems,General Problems,General Problems,what is meant by body mass index,
Body Pain,Body Pain,Body Pain,what is the exercise for right back pain?,
Body Pain,Body Pain,Body Pain,what are the exercise for knee pain?,
General Problems,General Problems,General Problems,what is Technology in Health care,
Dental,Dental,Dental,how can Slovenia teeth problem?,
Others,Gym,Others,What are the foods we need to earn stamina?,
General Problems,General Problems,General Problems,"biotin use pana any side effect varum
",
General Problems,"Ear, Nose and Throat","Ear, Nose and Throat",sir please help me I have some sneeze problem?,
Others,Lungs and Smoking,Others,how to leave smocking any tips,
Dental,Dental,Dental,how to clean teeth yellow to white,
General Problems,General Problems,General Problems,what is precautions for safety?,
Dental,Dental,Dental,How to clean teeth as bright white from yellow teeth,
Diet and Food,Diet and Food,Diet and Food,what type of foods  eat day time ?,
Diet and Food,Diet and Food,Diet and Food,what is good diet....................,
Dental,Dental,Dental,How to prevent yellowish of teeth ?,
"Ear, Nose and Throat","Ear, Nose and Throat","Ear, Nose and Throat",How to clear your throat ? and How to prevent bad breath ?,
Skin,Skin,Skin,how to clean face of dark circle,
Dental,Dental,Dental,my teeth how are cleaning view the house to ,
Body Pain,Body Pain,Body Pain,what is the treatment for knee pain,
Dental,Dental,Dental,how can I clean my yellow teeth,
Diet and Food,Diet and Food,Diet and Food,what type of food we take in diet ?,
Body Pain,Headache,Headache,Why are my head in pain all time?? ,
Stress and Anxiety,Stress and Anxiety,Stress and Anxiety,"Doctor why are weakness my body? 
",
Weight Gain,Weight Gain,Weight Gain,what is the best way to gain mass,
Others,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",How to reduce gastric problem? ,
General Problems,gym,Hair Treatment,How I can growth up my body Pls tell me sir ?,
Hair Treatment,Hair Treatment,Hair Treatment,heavy hair fall ??? how to stop it,
Sexual Problem,Sexual Problem,Sexual Problem,inaugural period in one month two time why? please tell me.,
Dental,Dental,Dental,how can teeth problem solar pls tell me,
"Stomach, Kidney and Liver","Stomach, Kidney and Liver","Stomach, Kidney and Liver",I am feeling highly acidic at the morning time...please solve my problem...,
General Problems,General Problems,General Problems,dear sir stretch body mark remover ka koi medicine batai jo stretch body mark remove kar de ,
Dental,Dental,Dental,how can teeth problem Slovenia?,
Others,Gym,Others,How to get stamina for play sports ,
Sexual Problem,Sexual Problem,Sexual Problem,is it possible to ejaculate sperm when the person is dead?,
Others,General Problems,General Problems,what are the causes of snoring and how to avoid it,
General Problems,Dental,General Problems,how can I brush in a day? please tell me sir,
Critical,Critical,Others,cancer se kaise bachav karein? ,
Blood Related,Blood Related,Blood Related,how can eat toh grow my blood? ,
Hair Treatment,Hair Treatment,Hair Treatment,hair fall se kaise bachav karein? ,
Hair Treatment,Hair Treatment,Hair Treatment,how to get thick hair on forehead,
Weight Gain,Diet and Food,Diet and Food,I m nitish singh and I have problem in gaining body I m very slim soo what should be my diet to gain body quickly,
Lungs and Smoking,Lungs and Smoking,Lungs and Smoking,Is there a safe way to smoke?,
Lungs and Smoking,Lungs and Smoking,Lungs and Smoking,Is cigarette smoking really addictive?,
Lungs and Smoking,Lungs and Smoking,Others,Who is most likely to become addicted?,
Lungs and Smoking,Lungs and Smoking,Lungs and Smoking,How does cigarette smoke affect the lungs?,
Lungs and Smoking,Lungs and Smoking,Lungs and Smoking,What in cigarette smoke is harmful?,
Lungs and Smoking,Lungs and Smoking,Lungs and Smoking,What are the health risks of smoking pipes or cigars?,
Lungs and Smoking,Lungs and Smoking,Lungs and Smoking,Does cigarette smoking affect the heart?,
Lungs and Smoking,Lungs and Smoking,Lungs and Smoking,Is smoking common among young people?,
Lungs and Smoking,Lungs and Smoking,Lungs and Smoking,What are the chances that smoking will kill you?,
Lungs and Smoking,Lungs and Smoking,Lungs and Smoking,How many people smoke cigarettes?,
Lungs and Smoking,Lungs and Smoking,Lungs and Smoking,Why do people begin to smoke?,
Lungs and Smoking,Lungs and Smoking,Lungs and Smoking,Can quitting really help a lifelong smoker?,
Lungs and Smoking,Lungs and Smoking,Lungs and Smoking,Suppose I smoke for a while and then quit?,
Cold,Lungs and Smoking,Lungs and Smoking,"Why do smokers have ""smoker's cough""?",
Lungs and Smoking,Lungs and Smoking,Others,My lungs are not in good condition,
Lungs and Smoking,Lungs and Smoking,Lungs and Smoking,I want to smoke marijuana,
Lungs and Smoking,Lungs and Smoking,"Ear, Nose and Throat",What are the symtoms of asthma,
Lungs and Smoking,Lungs and Smoking,"Ear, Nose and Throat",How can asthma be cured,
Lungs and Smoking,Lungs and Smoking,Lungs and Smoking,What is the permenant cure for asthma,
Lungs and Smoking,Lungs and Smoking,Lungs and Smoking,does marijuana effect lungs,
Lungs and Smoking,Lungs and Smoking,General Problems,What is the best medicine for asthma,
Lungs and Smoking,Lungs and Smoking,"Ear, Nose and Throat",can homeopathy cure asthma permenantly,
Lungs and Smoking,Lungs and Smoking,"Ear, Nose and Throat",is there any treatment for asthma,
Lungs and Smoking,Lungs and Smoking,Lungs and Smoking,Will smoking weed and marijuana effect our lungs,
Sexual Problem,Sexual Problem,Sexual Problem,What are the best way tomaintain penis hygiene,
Sexual Problem,Sexual Problem,Sexual Problem,How to increase penis size,
Sexual Problem,Sexual Problem,Sexual Problem,how to control the sperm while intercourse,
Sexual Problem,Sexual Problem,Sexual Problem,Why is my penis sick,
Sexual Problem,Sexual Problem,Sexual Problem,What penis size do women like,
Sexual Problem,Sexual Problem,Sexual Problem,How to control pregnancy,
Sexual Problem,Sexual Problem,Sexual Problem,how can I become pregnant,
Sexual Problem,Sexual Problem,Sexual Problem,how does it feel to be pregnant,
Sexual Problem,Sexual Problem,Sexual Problem,how to work while pregnant,
Sexual Problem,Sexual Problem,Sexual Problem,what to eat during pregnancy,
Gym,Sexual Problem,General Problems,How to maintain breasts,
Sexual Problem,Sexual Problem,Sexual Problem,is masturbation good?,
Sexual Problem,Sexual Problem,Sexual Problem,can masturbation be used only for pleasure,
General Problems,Sexual Problem,Sexual Problem,how many times should we masturbate in a day,
Sexual Problem,Sexual Problem,Sexual Problem,whats your masturbation score,
Others,Sexual Problem,Sexual Problem,do girls masturbate,
Others,Sexual Problem,Sexual Problem,what is the way to masturbate,
Sexual Problem,Sexual Problem,Sexual Problem,is masturbation safe,
Others,Sexual Problem,Sexual Problem,"if I masturbate, am I still a virgin",
Sexual Problem,Sexual Problem,Sexual Problem,how to control masturbation,
,Sexual Problem,Sexual Problem,what is mutual masturbate,
,Sexual Problem,Sexual Problem,how to masturbate,
,Sexual Problem,Sexual Problem,how to qucikly masturbate,
,Sexual Problem,Sexual Problem,does doing masturbate make you sick or ill,
,Sexual Problem,Sexual Problem,why to masturbate,
,"Ear, Nose and Throat",Others,fish bone stuck in my throat,
,"Ear, Nose and Throat","Ear, Nose and Throat",ear blockage,
,"Ear, Nose and Throat","Ear, Nose and Throat",heavy throat and ear pain,
,"Ear, Nose and Throat","Ear, Nose and Throat",ear closed due to dust,
,"Ear, Nose and Throat","Ear, Nose and Throat",my left ear is blocked,
,"Ear, Nose and Throat","Ear, Nose and Throat",nose throat,
,"Ear, Nose and Throat","Ear, Nose and Throat",what causes ear infections,
,"Ear, Nose and Throat","Ear, Nose and Throat",do ear infectious cause hearing loss,
,"Ear, Nose and Throat","Ear, Nose and Throat",hearing problem,
,"Ear, Nose and Throat",Body Pain,having ear pain for last 3 days,
,"Ear, Nose and Throat","Ear, Nose and Throat",ear hurting,
,"Ear, Nose and Throat","Ear, Nose and Throat",what is likely to be deaf,
,"Ear, Nose and Throat","Ear, Nose and Throat",how can I be friend with deaf,
,"Ear, Nose and Throat","Ear, Nose and Throat",can salt in nose help pulsating tinnitus,
,"Ear, Nose and Throat","Ear, Nose and Throat",is there any medical treatment for hearing loss,
,"Ear, Nose and Throat","Ear, Nose and Throat",how to be with a deaf person,
,"Ear, Nose and Throat","Ear, Nose and Throat",are hearing people better than deaf,
,"Ear, Nose and Throat","Ear, Nose and Throat",how to handle deaf person,
,"Ear, Nose and Throat","Ear, Nose and Throat",tinnitus problem,
,"Ear, Nose and Throat",General Problems,best way to manage tinnitus problem,
,"Ear, Nose and Throat","Ear, Nose and Throat",ear probem tinnitus problem,
,"Ear, Nose and Throat","Ear, Nose and Throat",how to train a deaf,
,"Ear, Nose and Throat","Ear, Nose and Throat",how can we get to know about the hearing loss,
,"Ear, Nose and Throat","Ear, Nose and Throat",what do deaf people imagine hearing sound is like,
,"Ear, Nose and Throat",Body Pain,"My husdand have sinus problem. Often he is getting head pain and also taking pain killer like Dolo, Am very worried about him and his health.",
,"Ear, Nose and Throat","Ear, Nose and Throat",radio ear,
,"Ear, Nose and Throat","Ear, Nose and Throat",how do people live with tinnitus,
,"Ear, Nose and Throat","Ear, Nose and Throat",is there cure for tinnitus,
,"Ear, Nose and Throat","Ear, Nose and Throat",is tinnitus a common problem,
,"Ear, Nose and Throat","Ear, Nose and Throat",how to handle tinnitus,
,"Ear, Nose and Throat","Ear, Nose and Throat",tinnitus problem,
,"Ear, Nose and Throat","Ear, Nose and Throat",tinnitus problem,
,"Ear, Nose and Throat",Others,tonsils,
,"Ear, Nose and Throat",Others,tonsils operation,
,"Ear, Nose and Throat","Ear, Nose and Throat",ringing in ear,
,"Ear, Nose and Throat","Ear, Nose and Throat",there is small lump behind ear,
,"Ear, Nose and Throat","Ear, Nose and Throat",tinnitus sound in right ear,
,"Ear, Nose and Throat",Others,are tonsils normal,
,"Ear, Nose and Throat","Ear, Nose and Throat",how to cure tonsils at home,
,"Ear, Nose and Throat","Ear, Nose and Throat",how should I cure my tonsils infection,
,"Ear, Nose and Throat","Ear, Nose and Throat",what is tonsil stone,
,"Ear, Nose and Throat","Ear, Nose and Throat",tonsil,
,"Ear, Nose and Throat","Ear, Nose and Throat",tonsil in throat,
,"Ear, Nose and Throat","Ear, Nose and Throat",best way to cure tonsil,
,"Ear, Nose and Throat","Stomach, Kidney and Liver",breating problem due to tonsils,
,"Ear, Nose and Throat","Ear, Nose and Throat",nose irritation,
,"Ear, Nose and Throat","Ear, Nose and Throat",due to tonsil not able to work,
,"Ear, Nose and Throat","Ear, Nose and Throat",My Nose always block and suffering from a lot of problems.,
,"Ear, Nose and Throat","Ear, Nose and Throat",causes of nausea,
,"Ear, Nose and Throat","Ear, Nose and Throat",sinus problem,
,"Ear, Nose and Throat","Ear, Nose and Throat",home remedy to cure nausea,
,"Ear, Nose and Throat","Ear, Nose and Throat",friend having sinus and nausea,
,"Ear, Nose and Throat","Ear, Nose and Throat",why do lemons help in nausea,
,"Ear, Nose and Throat","Ear, Nose and Throat",best treatment for nausea,
,"Ear, Nose and Throat","Ear, Nose and Throat",why I mostly feels like nausea,
,"Ear, Nose and Throat","Ear, Nose and Throat",how to stop nausea,
,"Ear, Nose and Throat","Ear, Nose and Throat",which antibioticshelp in nausea,
,"Ear, Nose and Throat","Ear, Nose and Throat",how to get rid of nausea,
,"Ear, Nose and Throat","Ear, Nose and Throat",how to cure sinus,
,"Ear, Nose and Throat","Ear, Nose and Throat",how to treat sinus problem,
,"Ear, Nose and Throat","Ear, Nose and Throat",how to cure sinus,
,"Ear, Nose and Throat","Ear, Nose and Throat",hearing aid required,
,"Ear, Nose and Throat","Ear, Nose and Throat",ear damaged,
,"Ear, Nose and Throat","Ear, Nose and Throat",nose is weak,
,"Ear, Nose and Throat","Ear, Nose and Throat",sore throat,
,"Ear, Nose and Throat","Ear, Nose and Throat",tinnitus problem,
,"Ear, Nose and Throat","Ear, Nose and Throat",loss of hearing in both ear,
,Body Pain,Body Pain,what is the reason for continued paining in legs,
,Body Pain,Body Pain,how to cure hip pain,
,"Ear, Nose and Throat","Ear, Nose and Throat",how to take care of ear,
,Body Pain,Others,my neck is painging since 3 weeks,
,Body Pain,Body Pain,my legs are paining since 10 weeks,
,Body Pain,Body Pain,while sleeping I have leg pains,
,Body Pain,Gym,why my body pains while running,
,Body Pain,Body Pain,what are the remedies for severe chest pain,
,Body Pain,Gym,how to cure full body pains ,
,Body Pain,Others,my back pains a lot midnight,
,Body Pain,Body Pain,my hand are paining after exercise,
,Body Pain,Body Pain,I have back pain,
,Body Pain,Body Pain,my life is a big pain for others,
,Body Pain,Body Pain,best solution for back paining,
,Body Pain,Body Pain,some exercises for paining,
,Body Pain,Body Pain,how to cure leg paining,
,Body Pain,Body Pain,while dancing my left leg pained very hard,
,Body Pain,Body Pain,it is difficult to have  pained hand,
,Body Pain,Body Pain,paining pained pain pains,
,Body Pain,Body Pain,I have bones paining,
,Body Pain,Body Pain,I had to control my  paining hands,
,Body Pain,Body Pain,last week my back pained a lot,
,Body Pain,Gym,how to get rid of all pains in body,
,Body Pain,Body Pain,which is the best pain killer medicine,
,Body Pain,Gym,how to reduce the body pains,
,Body Pain,Gym,my body pains very much after 8 hrs of work,
,Body Pain,Body Pain,how to work with leg pains,
,Body Pain,General Problems,best medicine for back pains,
,Body Pain,Gym,what is the treatment for body pains,
,Eyes,Eyes,what colour eye are good looking,
,Eyes,Eyes,why do we have two eye,
,Eyes,Eyes,my eye have burning sensation,
,Eyes,Eyes,how to protect our eye from UV rays,
,Eyes,Eyes,how to keep the eye fresh,
,Eyes,Eyes,severe eye paining,
,Eyes,Eyes,retina of my eye is not perfect,
,Eyes,Eyes,eye vision,
,Eyes,Eyes,every day I have eye irritation,
,Eyes,Eyes,how to improve vision of eye,
,Eyes,Eyes,something has stuck in my right eye,
,Eyes,Eyes,eye redness,
,Eyes,Eyes,which eye drops is best for our eye,
,Eyes,Eyes,have serious problem in vision,
,Eyes,Eyes,bulging of lower eye lid,
,Eyes,Eyes,eye and vision,
,Eyes,Eyes,blurring of vision,
,Eyes,Eyes,how to have good vision,
,Eyes,Eyes,I have severe strain in my eye,
,Eyes,Eyes,best treatment for curing night vision,
,Eyes,Eyes,is there any treatment for curing eye disease,
,Eyes,Eyes,I have weak eye,
,Eyes,Eyes,Why we cannot look directly to sun with naked eye,
,Eyes,Eyes,How to cure blur vision post laser treatment,
,Eyes,Eyes,how to increase my eye size,
,Eyes,Eyes,how to cure blurry vision,
,Eyes,Eyes,I have lost night vision,
,Eyes,Eyes,I rub my eye after dust storm it damages very badly so after that my eye get very swelling Here i attached my pic,
,Eyes,Eyes,not able to get clear vision,
,Eyes,Eyes,how to cure itchy eye,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",what should I do for proper digestion,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",some tips for good digestive system,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",how is digestion of protein related to liver,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",how digestion of food is a chemical change,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",can our digestive system digest virus,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",what are the products for fat digestion,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",what type of food is  suggestion for proper digestion,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",what does digestion means,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",How do I improve my digestion,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",what are digestive biscuits,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",Is burp  a sign of digestion,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",what is the use of insulin in digestive system,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",what are the parts of digestive system,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",how long does a digestion process lasts,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",where does digestion of protein begins,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",what is the role of bile in digestion,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",How can I cleanse my digestive system,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",What moves the food in the digestive organ,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",Can I take gauva powder for better digestion,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",Will my digestive system be ok after car accident,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",does lipid digestion takes place in humans,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",what are the best ways to keep digestive system healthy,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",what is sensitive digestive system,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",what is mechanical digestion in small intestine,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",how to improve digestion power,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",best hospital to treat kidney stone,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",How painful is a kidney stone,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",what should a patient of kidney stone eat,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",how to treat kidney stones,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",Is beer useful for removing kidney stones,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",how can I avoid kidney stones,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",is it possible to dissolve kidney stone naturally,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",what causes kidney stones,
,"Stomach, Kidney and Liver",General Problems,can drinking ilk causes kidneey stones,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",how to treat my fatty liver,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",How can one cure liver problem,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",what is good for a good liver,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",is liver transplant possible,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",best medicine for healthy liver,
,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",how does liver repair itself,
